id,year,month,week_period,train_station_name,rail_direction,train_number,operator,makat,direction,alternative,departure_time,avg_passengers_per_trip,arrival_time_to_station,arrival_time_window,minutes_gap_bus_to_rail,recommended_minutes,observations_count,on_time_count,on_time_percentage,is_bus_on_time,is_gold_train,rishui_train_arrival_time,signage,train_ascending_amount,train_station_code,on_time_percentage_by_train,express_train,on_time_percentage_by_train_station,duration_from_current_station_to_hashalom,on_time_percentage_by_makat
1,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",20,"אלקטרה אפיקים",36044,1,#,05:00,2,05:22:16,1.0,4.73,-5,20,0,0.00,0,לא,05:27:00,44,15,6150,46.00,אקספרס,61.00,43,53.00
2,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",22,"אלקטרה אפיקים",36044,1,#,05:55,2.4,06:17:50,1.0,9.17,NULL,20,15,75.00,1,לא,06:27:00,44,57,6150,65.00,אקספרס,61.00,43,53.00
3,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",24,"אלקטרה אפיקים",36044,1,#,06:55,9.1,07:21:28,3.0,5.53,-5,20,1,5.00,0,לא,07:27:00,44,147,6150,38.00,אקספרס,61.00,43,53.00
4,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",26,"אלקטרה אפיקים",36044,1,#,07:50,8.9,08:19:19,3.0,7.68,-5,20,11,55.00,0,לא,08:27:00,44,135,6150,35.00,אקספרס,61.00,43,53.00
5,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",28,"אלקטרה אפיקים",36044,1,#,08:50,6.1,09:15:49,4.0,11.18,NULL,19,13,68.00,1,לא,09:27:00,44,4,6150,63.00,אקספרס,61.00,43,53.00
6,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",30,"אלקטרה אפיקים",36044,1,#,09:50,3.5,10:14:11,2.0,12.82,NULL,19,18,95.00,1,לא,10:27:00,44,28,6150,84.00,אקספרס,61.00,43,53.00
7,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",34,"אלקטרה אפיקים",36044,1,#,11:50,5.6,12:13:10,1.0,13.83,NULL,20,18,90.00,1,לא,12:27:00,44,71,6150,77.00,אקספרס,61.00,43,53.00
8,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",36,"אלקטרה אפיקים",36044,1,#,12:55,3.6,13:17:44,2.0,9.27,NULL,20,13,65.00,1,לא,13:27:00,44,28,6150,78.00,אקספרס,61.00,43,53.00
9,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",38,"אלקטרה אפיקים",36044,1,#,13:55,6.8,14:23:43,4.0,3.28,-5,18,2,11.00,0,לא,14:27:00,44,38,6150,45.00,אקספרס,61.00,43,53.00
10,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",40,"אלקטרה אפיקים",36044,1,#,14:55,6.2,15:20:20,3.0,6.67,-5,20,6,30.00,0,לא,15:27:00,44,37,6150,48.00,אקספרס,61.00,43,53.00
11,2026,2,"יום חול","קרית מלאכי","לכיוון תל אביב",44,"אלקטרה אפיקים",36044,1,#,16:50,4.6,17:14:29,3.0,12.52,NULL,20,17,85.00,1,לא,17:27:00,44,33,6150,65.00,אקספרס,61.00,43,53.00
