Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending
2025,10,יום חול,1400,קרית מוצקין,7,04:01:00,227.0,13.0
2025,10,יום חול,1400,קרית מוצקין,8007,04:01:00,50.0,1.0
2025,10,יום חול,1400,קרית מוצקין,6007,04:01:00,97.0,5.0
2025,10,יום חול,3100,חדרה מערב,5,04:01:00,109.0,3.0
2025,10,יום חול,3100,חדרה מערב,8005,04:01:00,17.0,2.0
2025,10,יום חול,3100,חדרה מערב,1005,04:01:00,71.0,1.0
2025,10,יום חול,3100,חדרה מערב,6005,04:01:00,30.0,0.0
2025,10,שישי,3100,חדרה מערב,6005,04:01:00,16.0,2.0
2025,10,שישי,1400,קרית מוצקין,6007,04:01:00,141.0,1.0
2025,10,שישי,1400,קרית מוצקין,8007,04:01:00,2.0,0.0
2025,11,יום חול,1400,קרית מוצקין,7,04:01:00,403.0,3.0
2025,11,יום חול,3100,חדרה מערב,1005,04:01:00,57.0,1.0
2025,11,יום חול,3100,חדרה מערב,5,04:01:00,175.0,1.0
2025,11,שישי,1400,קרית מוצקין,6007,04:01:00,75.0,4.0
2025,11,שישי,3100,חדרה מערב,6005,04:01:00,24.0,0.0
2025,11,שישי,1400,קרית מוצקין,8007,04:01:00,8.0,1.0
2025,11,שישי,3100,חדרה מערב,8005,04:01:00,0.0,13.0
2025,10,יום חול,3300,נתניה,5,04:11:00,155.0,7.0
2025,10,יום חול,3300,נתניה,8005,04:11:00,19.0,1.0
2025,10,יום חול,3300,נתניה,6005,04:11:00,103.0,1.0
2025,10,יום חול,3300,נתניה,1005,04:11:00,68.0,4.0
2025,10,שישי,3300,נתניה,6005,04:11:00,84.0,7.0
2025,11,יום חול,3300,נתניה,1005,04:11:00,85.0,0.0
2025,11,יום חול,3300,נתניה,5,04:11:00,216.0,20.0
2025,11,שישי,3300,נתניה,6005,04:11:00,37.0,1.0
2025,10,יום חול,2100,חיפה מרכז,7,04:17:00,150.0,8.0
2025,10,יום חול,2100,חיפה מרכז,6007,04:17:00,74.0,1.0
2025,10,יום חול,2100,חיפה מרכז,8007,04:17:00,29.0,2.0
2025,10,שישי,2100,חיפה מרכז,6007,04:17:00,113.0,2.0
2025,10,שישי,2100,חיפה מרכז,8007,04:17:00,0.0,0.0
2025,11,יום חול,2100,חיפה מרכז,7,04:17:00,276.0,21.0
2025,11,שישי,2100,חיפה מרכז,6007,04:17:00,57.0,2.0
2025,11,שישי,2100,חיפה מרכז,8007,04:17:00,7.0,0.0
2025,10,יום חול,3500,הרצליה,5,04:23:00,67.0,25.0
2025,10,יום חול,3500,הרצליה,8005,04:23:00,2.0,8.0
2025,10,יום חול,3500,הרצליה,1005,04:23:00,34.0,4.0
2025,10,יום חול,3500,הרצליה,6005,04:23:00,27.0,6.0
2025,10,שישי,3500,הרצליה,6005,04:23:00,53.0,10.0
2025,11,יום חול,3500,הרצליה,1005,04:23:00,20.0,7.0
2025,11,יום חול,3500,הרצליה,5,04:23:00,66.0,41.0
2025,11,שישי,3500,הרצליה,6005,04:23:00,16.0,7.0
2025,10,יום חול,2300,חוף הכרמל,8007,04:26:00,50.0,4.0
2025,10,יום חול,2300,חוף הכרמל,6007,04:26:00,113.0,1.0
2025,10,יום חול,2300,חוף הכרמל,7,04:26:00,237.0,15.0
2025,10,שישי,2300,חוף הכרמל,6007,04:26:00,210.0,3.0
2025,10,שישי,2300,חוף הכרמל,8007,04:26:00,0.0,3.0
2025,11,יום חול,2300,חוף הכרמל,7,04:26:00,360.0,19.0
2025,11,שישי,2300,חוף הכרמל,8007,04:26:00,2.0,16.0
2025,11,שישי,2300,חוף הכרמל,6007,04:26:00,71.0,7.0
2025,10,יום חול,1500,עכו,6021,04:27:00,52.0,5.0
2025,10,שישי,1500,עכו,6021,04:27:00,39.0,8.0
2025,10,שישי,1500,עכו,8021,04:27:00,3.0,1.0
2025,11,שישי,1500,עכו,8021,04:27:00,9.0,2.0
2025,11,שישי,1500,עכו,6021,04:27:00,35.0,4.0
2025,10,יום חול,1400,קרית מוצקין,6021,04:39:00,35.0,2.0
2025,10,שישי,1400,קרית מוצקין,6021,04:39:00,31.0,6.0
2025,10,שישי,1400,קרית מוצקין,8021,04:39:00,3.0,1.0
2025,11,שישי,1400,קרית מוצקין,6021,04:39:00,23.0,3.0
2025,11,שישי,1400,קרית מוצקין,8021,04:39:00,5.0,5.0
2025,10,יום חול,700,קרית חיים,6021,04:43:00,5.0,0.0
2025,10,שישי,700,קרית חיים,8021,04:43:00,2.0,0.0
2025,10,שישי,700,קרית חיים,6021,04:43:00,16.0,1.0
2025,11,שישי,700,קרית חיים,6021,04:43:00,12.0,0.0
2025,11,שישי,700,קרית חיים,8021,04:43:00,2.0,0.0
2025,10,יום חול,2800,בנימינה,7,04:45:00,244.0,5.0
2025,10,יום חול,2800,בנימינה,8007,04:45:00,60.0,3.0
2025,10,יום חול,2800,בנימינה,6007,04:45:00,115.0,0.0
2025,10,שישי,2800,בנימינה,6007,04:45:00,205.0,6.0
2025,11,יום חול,2800,בנימינה,7,04:45:00,526.0,12.0
2025,11,שישי,2800,בנימינה,6007,04:45:00,78.0,4.0
2025,11,שישי,2800,בנימינה,8007,04:45:00,0.0,1.0
2025,10,יום חול,7300,באר שבע צפון,20,04:48:00,651.0,2.0
