Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending,event_type
2026,4,יום חול,2800,,8,04:00:00,,,to_tlv
2026,4,יום חול,2800,,8008,04:00:00,,,to_tlv
2026,4,יום חול,2800,,1008,04:00:00,,,to_tlv
2026,4,שישי,2800,,6008,04:00:00,,,to_tlv
2026,4,יום חול,1400,,8007,04:01:00,,,from_tlv
2026,4,יום חול,1400,,7,04:01:00,,,from_tlv
2026,4,יום חול,3100,,5,04:01:00,,,from_tlv
2026,4,יום חול,3100,,1005,04:01:00,,,from_tlv
2026,4,יום חול,3100,,8005,04:01:00,,,from_tlv
2026,4,שישי,1400,,6007,04:01:00,,,from_tlv
2026,4,יום חול,8600,,8707,04:01:00,,,to_tlv
2026,4,יום חול,8600,,9707,04:01:00,,,to_tlv
2026,4,שישי,3100,,6005,04:01:00,,,from_tlv
2026,4,שישי,8600,,6707,04:01:00,,,to_tlv
2026,4,יום חול,8600,,6707,04:01:00,,,to_tlv
2026,4,יום חול,8600,,707,04:01:00,,,to_tlv
2026,4,יום חול,1500,,8006,04:03:00,,,to_tlv
2026,4,יום חול,1500,,6,04:03:00,,,to_tlv
2026,4,שישי,1500,,6006,04:03:00,,,to_tlv
2026,4,יום חול,8600,,1010,04:06:00,,,from_tlv
2026,4,יום חול,8600,,8010,04:06:00,,,from_tlv
2026,4,שישי,8600,,6010,04:06:00,,,from_tlv
2026,4,יום חול,8600,,10,04:06:00,,,from_tlv
2026,4,יום חול,3700,,6706,04:07:00,,,to_tlv
2026,4,יום חול,3700,,706,04:07:00,,,to_tlv
2026,4,יום חול,3700,,706,04:07:00,,,to_tlv
2026,4,יום חול,3700,,8706,04:07:00,,,to_tlv
2026,4,יום חול,3700,,9706,04:07:00,,,to_tlv
2026,4,שישי,3700,,6706,04:07:00,,,to_tlv
2026,4,שישי,3700,,6706,04:07:00,,,to_tlv
2026,4,יום חול,3300,,5,04:11:00,,,from_tlv
2026,4,יום חול,3300,,8005,04:11:00,,,from_tlv
2026,4,יום חול,3300,,1005,04:11:00,,,from_tlv
2026,4,שישי,3300,,6005,04:11:00,,,from_tlv
2026,4,יום חול,7320,,8091,04:12:00,,,to_tlv
2026,4,שישי,7320,,8091,04:12:00,,,to_tlv
2026,4,יום חול,1600,,8006,04:16:00,,,to_tlv
2026,4,יום חול,1600,,6,04:16:00,,,to_tlv
2026,4,שישי,1600,,6006,04:16:00,,,to_tlv
2026,4,יום חול,2100,,8007,04:17:00,,,from_tlv
2026,4,יום חול,2100,,7,04:17:00,,,from_tlv
2026,4,יום חול,3500,,8706,04:17:00,,,to_tlv
2026,4,יום חול,3500,,706,04:17:00,,,to_tlv
2026,4,יום חול,3500,,9706,04:17:00,,,to_tlv
2026,4,שישי,3500,,6706,04:17:00,,,to_tlv
2026,4,שישי,2100,,6007,04:17:00,,,from_tlv
2026,4,יום חול,2300,,8,04:19:00,,,to_tlv
2026,4,יום חול,2300,,8008,04:19:00,,,to_tlv
2026,4,יום חול,3700,,8010,04:19:00,,,to_tlv
2026,4,יום חול,3700,,1010,04:19:00,,,to_tlv
2026,4,יום חול,3700,,10,04:19:00,,,to_tlv
2026,4,שישי,3700,,6010,04:19:00,,,to_tlv
2026,4,שישי,2300,,6008,04:19:00,,,to_tlv
2026,4,יום חול,1600,,6021,04:20:00,,,from_tlv
2026,4,שישי,1600,,6021,04:20:00,,,from_tlv
2026,4,יום חול,8600,,8094,04:22:00,,,from_tlv
2026,4,שישי,8600,,8094,04:22:00,,,from_tlv
2026,4,יום חול,3500,,5,04:23:00,,,from_tlv
2026,4,יום חול,3500,,8005,04:23:00,,,from_tlv
2026,4,יום חול,3500,,1005,04:23:00,,,from_tlv
2026,4,שישי,3500,,6005,04:23:00,,,from_tlv
2026,4,יום חול,2300,,8007,04:26:00,,,from_tlv
2026,4,יום חול,2300,,7,04:26:00,,,from_tlv
2026,4,שישי,2300,,6007,04:26:00,,,from_tlv
2026,4,יום חול,1500,,6021,04:27:00,,,from_tlv
2026,4,שישי,1500,,6021,04:27:00,,,from_tlv
2026,4,יום חול,2100,,8,04:28:00,,,to_tlv
2026,4,יום חול,2100,,8008,04:28:00,,,to_tlv
2026,4,שישי,2100,,6008,04:28:00,,,to_tlv
2026,4,יום חול,680,,6707,04:29:00,,,to_tlv
2026,4,יום חול,680,,707,04:29:00,,,to_tlv
2026,4,יום חול,3500,,10,04:29:00,,,to_tlv
2026,4,יום חול,3500,,1010,04:29:00,,,to_tlv
2026,4,יום חול,3500,,8010,04:29:00,,,to_tlv
2026,4,שישי,680,,6707,04:29:00,,,to_tlv
2026,4,שישי,3500,,6010,04:29:00,,,to_tlv
2026,4,יום חול,680,,708,04:32:00,,,to_tlv
2026,4,יום חול,680,,8708,04:32:00,,,to_tlv
2026,4,יום חול,3700,,8005,04:32:00,,,to_tlv
2026,4,יום חול,3700,,1005,04:32:00,,,to_tlv
2026,4,יום חול,3700,,5,04:32:00,,,to_tlv
2026,4,שישי,3700,,6005,04:32:00,,,to_tlv
2026,4,יום חול,680,,6708,04:33:00,,,to_tlv
2026,4,שישי,680,,6708,04:33:00,,,to_tlv
2026,4,יום חול,3700,,8095,04:34:00,,,to_tlv
2026,4,יום חול,7320,,8616,04:34:00,,,from_tlv
2026,4,יום חול,7320,,616,04:34:00,,,from_tlv
2026,4,שישי,3700,,8095,04:34:00,,,to_tlv
2026,4,יום חול,3700,,8094,04:37:00,,,to_tlv
2026,4,שישי,3700,,8094,04:37:00,,,to_tlv
2026,4,יום חול,1400,,6021,04:39:00,,,from_tlv
2026,4,יום חול,1400,,8,04:39:00,,,to_tlv
2026,4,יום חול,1400,,8008,04:39:00,,,to_tlv
2026,4,שישי,1400,,6021,04:39:00,,,from_tlv
2026,4,שישי,1400,,6008,04:39:00,,,to_tlv
2026,4,יום חול,3500,,9709,04:40:00,,,from_tlv
2026,4,יום חול,3500,,709,04:40:00,,,from_tlv
2026,4,יום חול,3500,,8709,04:40:00,,,from_tlv
2026,4,שישי,3500,,6709,04:40:00,,,from_tlv
2026,4,יום חול,3300,,1010,04:41:00,,,to_tlv
2026,4,יום חול,3300,,8010,04:41:00,,,to_tlv
2026,4,יום חול,3300,,10,04:41:00,,,to_tlv
2026,4,יום חול,7300,,616,04:41:00,,,from_tlv
2026,4,יום חול,7300,,8616,04:41:00,,,from_tlv
2026,4,יום חול,7320,,8020,04:41:00,,,from_tlv
2026,4,יום חול,7320,,20,04:41:00,,,from_tlv
2026,4,שישי,3300,,6010,04:41:00,,,to_tlv
2026,4,שישי,700,,6021,04:43:00,,,from_tlv
2026,4,יום חול,680,,8707,04:44:00,,,to_tlv
2026,4,יום חול,2800,,7,04:45:00,,,from_tlv
2026,4,יום חול,2800,,8007,04:45:00,,,from_tlv
2026,4,יום חול,7320,,6020,04:45:00,,,from_tlv
2026,4,שישי,7320,,6020,04:45:00,,,from_tlv
2026,4,שישי,2800,,6007,04:45:00,,,from_tlv
2026,4,יום חול,2800,,1007,04:47:00,,,from_tlv
2026,4,יום חול,3700,,8709,04:47:00,,,to_tlv
2026,4,יום חול,3700,,9709,04:47:00,,,to_tlv
2026,4,יום חול,3700,,709,04:47:00,,,to_tlv
2026,4,יום חול,8600,,1005,04:47:00,,,to_tlv
2026,4,יום חול,8600,,8005,04:47:00,,,to_tlv
2026,4,שישי,3700,,6709,04:47:00,,,to_tlv
2026,4,שישי,8600,,6005,04:47:00,,,to_tlv
2026,4,יום חול,8600,,5,04:47:00,,,to_tlv
2026,4,שישי,1300,,6021,04:47:00,,,to_tlv
2026,4,יום חול,1220,,8149,04:48:00,,,from_tlv
2026,4,יום חול,1600,,101,04:48:00,,,from_tlv
2026,4,יום חול,1220,,149,04:48:00,,,from_tlv
2026,4,יום חול,2300,,8092,04:48:00,,,to_tlv
2026,4,יום חול,7300,,20,04:48:00,,,from_tlv
2026,4,שישי,2300,,8092,04:48:00,,,to_tlv
2026,4,יום חול,7300,,8020,04:48:00,,,from_tlv
2026,4,יום חול,1500,,8008,04:49:00,,,to_tlv
2026,4,יום חול,1500,,8,04:49:00,,,to_tlv
2026,4,יום חול,3700,,6709,04:49:00,,,to_tlv
2026,4,יום חול,3700,,709,04:49:00,,,to_tlv
2026,4,שישי,3700,,6709,04:49:00,,,to_tlv
2026,4,שישי,1500,,6008,04:49:00,,,to_tlv
2026,4,יום חול,8600,,8095,04:50:00,,,to_tlv
2026,4,שישי,8600,,8095,04:50:00,,,to_tlv
2026,4,יום חול,1220,,6021,04:51:00,,,from_tlv
2026,4,יום חול,3100,,1010,04:51:00,,,to_tlv
2026,4,יום חול,3100,,8010,04:51:00,,,to_tlv
2026,4,יום חול,3100,,10,04:51:00,,,to_tlv
2026,4,שישי,3100,,6010,04:51:00,,,to_tlv
2026,4,שישי,1220,,6021,04:51:00,,,from_tlv
2026,4,יום חול,8600,,8708,04:53:00,,,from_tlv
2026,4,יום חול,7300,,6020,04:53:00,,,from_tlv
2026,4,שישי,7300,,6020,04:53:00,,,from_tlv
2026,4,יום חול,8600,,6708,04:53:00,,,from_tlv
2026,4,יום חול,8600,,708,04:53:00,,,from_tlv
2026,4,שישי,8600,,6708,04:53:00,,,from_tlv
2026,4,יום חול,2100,,8149,04:54:00,,,from_tlv
2026,4,יום חול,2100,,149,04:54:00,,,from_tlv
2026,4,יום חול,5900,,6616,04:54:00,,,from_tlv
2026,4,שישי,5900,,6616,04:54:00,,,from_tlv
2026,4,יום חול,1500,,101,04:55:00,,,from_tlv
2026,4,יום חול,3100,,7,04:55:00,,,from_tlv
2026,4,יום חול,3100,,8007,04:55:00,,,from_tlv
2026,4,יום חול,3100,,1007,04:55:00,,,from_tlv
2026,4,יום חול,8600,,9708,04:55:00,,,from_tlv
2026,4,יום חול,9700,,616,04:55:00,,,from_tlv
2026,4,יום חול,9700,,8616,04:55:00,,,from_tlv
2026,4,יום חול,9700,,616,04:55:00,,,from_tlv
2026,4,שישי,3100,,6007,04:55:00,,,from_tlv
2026,4,שישי,7300,,6020,04:55:00,,,from_tlv
2026,4,יום חול,2100,,6021,04:59:00,,,from_tlv
2026,4,יום חול,2200,,8149,04:59:00,,,from_tlv
2026,4,יום חול,2200,,149,04:59:00,,,from_tlv
2026,4,יום חול,8550,,20,04:59:00,,,from_tlv
2026,4,שישי,2100,,6021,04:59:00,,,from_tlv
2026,4,יום חול,8550,,8020,04:59:00,,,from_tlv
2026,4,יום חול,1600,,8008,05:00:00,,,to_tlv
2026,4,יום חול,1600,,8,05:00:00,,,to_tlv
2026,4,יום חול,2800,,8010,05:00:00,,,to_tlv
2026,4,יום חול,2800,,1010,05:00:00,,,to_tlv
2026,4,יום חול,2800,,10,05:00:00,,,to_tlv
2026,4,יום חול,8600,,12,05:00:00,,,from_tlv
2026,4,יום חול,5900,,8222,05:00:00,,,from_tlv
2026,4,יום חול,5900,,222,05:00:00,,,from_tlv
2026,4,יום חול,8600,,8012,05:00:00,,,from_tlv
2026,4,שישי,2800,,6010,05:00:00,,,to_tlv
2026,4,שישי,1600,,6008,05:00:00,,,to_tlv
