Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Departure_Time,PassengersAscending,PassengersDescending
2025,12,יום חול,3100,,5,04:02:00,,
2025,12,יום חול,2800,בנימינה,8,04:02:00,10.0,181.0
2025,12,שישי,2800,בנימינה,6008,04:02:00,1.0,72.0
2026,1,יום חול,2800,בנימינה,8,04:02:00,6.0,147.0
2026,1,שישי,2800,בנימינה,6008,04:02:00,0.0,48.0
2025,12,יום חול,8600,"נתב""ג",707,04:03:00,308.0,203.0
2025,12,שישי,8600,"נתב""ג",6707,04:03:00,102.0,71.0
2026,1,יום חול,1400,,7,04:03:00,,
2026,1,שישי,8600,"נתב""ג",6707,04:03:00,197.0,47.0
2026,1,יום חול,8600,"נתב""ג",707,04:03:00,431.0,198.0
2025,12,יום חול,1500,,6,04:05:00,,
2025,12,יום חול,1500,עכו,6,04:05:00,14.0,256.0
2026,1,יום חול,1500,,6,04:05:00,,
2026,1,יום חול,1500,עכו,6,04:05:00,6.0,212.0
2025,12,שישי,1500,עכו,6006,04:05:00,6.0,80.0
2026,1,שישי,1500,עכו,8006,04:05:00,0.0,5.0
2026,1,שישי,1500,עכו,6006,04:05:00,1.0,53.0
2026,1,שישי,8600,,6010,04:06:00,,
2025,12,יום חול,3700,תל אביב מרכז,9706,04:09:00,0.0,20.0
2025,12,יום חול,3700,תל אביב מרכז,706,04:09:00,2.0,255.0
2025,12,שישי,3700,תל אביב מרכז,6706,04:09:00,4.0,131.0
2026,1,יום חול,3700,תל אביב מרכז,9706,04:09:00,0.0,23.0
2026,1,יום חול,3700,,706,04:09:00,,
2026,1,יום חול,3700,תל אביב מרכז,706,04:09:00,12.0,224.0
2026,1,שישי,3700,תל אביב מרכז,6706,04:09:00,8.0,92.0
2025,12,יום חול,2100,,7,04:19:00,,
2026,1,יום חול,2100,,7,04:19:00,,
2025,12,יום חול,2300,חוף הכרמל,8,04:21:00,27.0,201.0
2025,12,יום חול,3700,תל אביב מרכז,10,04:21:00,192.0,101.0
2025,12,יום חול,3700,תל אביב מרכז,1010,04:21:00,53.0,8.0
2025,12,שישי,2300,חוף הכרמל,6008,04:21:00,12.0,111.0
2025,12,שישי,3700,תל אביב מרכז,6010,04:21:00,182.0,13.0
2026,1,יום חול,2300,,8,04:21:00,,
2026,1,יום חול,3700,תל אביב מרכז,10,04:21:00,294.0,63.0
2026,1,יום חול,2300,חוף הכרמל,8,04:21:00,16.0,232.0
2026,1,יום חול,3700,תל אביב מרכז,1010,04:21:00,37.0,17.0
2026,1,שישי,3700,תל אביב מרכז,6010,04:21:00,176.0,20.0
2026,1,שישי,2300,,6008,04:21:00,,
2026,1,שישי,2300,חוף הכרמל,8008,04:21:00,10.0,0.0
2026,1,שישי,2300,חוף הכרמל,6008,04:21:00,6.0,47.0
2026,1,יום חול,2300,,7,04:28:00,,
2025,12,שישי,1500,,6021,04:29:00,,
2025,12,יום חול,2100,חיפה מרכז,8,04:30:00,31.0,165.0
2025,12,יום חול,3500,הרצליה,10,04:30:00,48.0,61.0
2025,12,שישי,3500,הרצליה,6010,04:30:00,95.0,16.0
2025,12,שישי,2100,חיפה מרכז,6008,04:30:00,6.0,54.0
2026,1,יום חול,2100,חיפה מרכז,8,04:30:00,29.0,139.0
2026,1,יום חול,3500,הרצליה,1010,04:30:00,7.0,3.0
2026,1,יום חול,3500,הרצליה,10,04:30:00,64.0,52.0
2026,1,שישי,2100,חיפה מרכז,6008,04:30:00,9.0,45.0
2026,1,שישי,3500,הרצליה,6010,04:30:00,212.0,15.0
2026,1,שישי,2100,חיפה מרכז,8008,04:30:00,1.0,0.0
2025,12,יום חול,3500,הרצליה,1010,04:31:00,14.0,14.0
2026,1,יום חול,3500,הרצליה,1010,04:31:00,4.0,3.0
2025,12,יום חול,680,ירושלים/יצחק נבון,708,04:32:00,622.0,0.0
2026,1,יום חול,680,ירושלים/יצחק נבון,708,04:32:00,502.0,0.0
2025,12,שישי,680,ירושלים/יצחק נבון,6708,04:33:00,290.0,0.0
2026,1,שישי,680,ירושלים/יצחק נבון,6708,04:33:00,286.0,0.0
2025,12,יום חול,3700,תל אביב מרכז,5,04:34:00,139.0,268.0
2025,12,יום חול,3700,תל אביב מרכז,1005,04:34:00,26.0,35.0
2025,12,שישי,3700,תל אביב מרכז,6005,04:34:00,42.0,96.0
2026,1,יום חול,3700,תל אביב מרכז,5,04:34:00,103.0,260.0
2026,1,יום חול,3700,תל אביב מרכז,1005,04:34:00,20.0,31.0
2026,1,שישי,3700,תל אביב מרכז,6005,04:34:00,35.0,91.0
2025,12,יום חול,1400,קרית מוצקין,8,04:41:00,32.0,203.0
2025,12,שישי,1400,קרית מוצקין,6008,04:41:00,9.0,95.0
2026,1,יום חול,1400,קרית מוצקין,8,04:41:00,35.0,175.0
2026,1,שישי,1400,קרית מוצקין,6008,04:41:00,9.0,50.0
2026,1,שישי,1400,,6021,04:41:00,,
2026,1,שישי,1400,קרית מוצקין,8008,04:41:00,3.0,2.0
2025,12,יום חול,3300,נתניה,10,04:42:00,30.0,209.0
2025,12,שישי,3300,נתניה,6010,04:42:00,24.0,99.0
2026,1,יום חול,3300,נתניה,1010,04:42:00,7.0,15.0
2026,1,יום חול,3300,נתניה,10,04:42:00,29.0,146.0
2026,1,שישי,3300,נתניה,6010,04:42:00,15.0,124.0
2025,12,שישי,3700,תל אביב מרכז,6843,04:43:00,15.0,0.0
2025,12,יום חול,3300,נתניה,1010,04:44:00,22.0,19.0
2026,1,יום חול,3300,נתניה,1010,04:44:00,4.0,18.0
2025,12,שישי,4600,השלום,6843,04:46:00,19.0,1.0
2026,1,יום חול,2800,,7,04:47:00,,
2025,12,יום חול,1220,מרכזית המפרץ/קו החוף,149,04:48:00,574.0,2.0
2025,12,שישי,1300,חוצות מפרץ,6021,04:48:00,20.0,3.0
2026,1,יום חול,1220,מרכזית המפרץ/קו החוף,149,04:48:00,395.0,1.0
2026,1,יום חול,1600,,101,04:48:00,,
2026,1,שישי,1300,חוצות מפרץ,6021,04:48:00,3.0,5.0
2026,1,שישי,1300,חוצות מפרץ,8021,04:48:00,0.0,1.0
2025,12,יום חול,3700,תל אביב מרכז,9709,04:49:00,46.0,5.0
2025,12,יום חול,3700,תל אביב מרכז,709,04:49:00,214.0,14.0
2025,12,שישי,3700,תל אביב מרכז,6709,04:49:00,106.0,5.0
2026,1,יום חול,3700,תל אביב מרכז,709,04:49:00,201.0,17.0
2026,1,שישי,3700,תל אביב מרכז,6709,04:49:00,99.0,6.0
2026,1,יום חול,3700,תל אביב מרכז,9709,04:49:00,26.0,7.0
2026,1,יום חול,7300,,20,04:50:00,,
2025,12,יום חול,1500,עכו,8,04:51:00,47.0,235.0
2025,12,שישי,4900,תל אביב ההגנה,6843,04:51:00,20.0,4.0
2025,12,שישי,1500,עכו,6008,04:51:00,9.0,90.0
2026,1,יום חול,1500,עכו,8,04:51:00,35.0,261.0
2026,1,שישי,1500,עכו,8008,04:51:00,2.0,6.0
2026,1,שישי,1500,עכו,6008,04:51:00,4.0,47.0
2025,12,יום חול,3100,חדרה מערב,10,04:52:00,49.0,140.0
2025,12,שישי,3100,חדרה מערב,6010,04:52:00,17.0,87.0
2026,1,יום חול,3100,חדרה מערב,1010,04:52:00,6.0,14.0
2026,1,יום חול,3100,חדרה מערב,10,04:52:00,46.0,113.0
2026,1,שישי,3100,חדרה מערב,6010,04:52:00,19.0,87.0
2025,12,שישי,1220,מרכזית המפרץ/קו החוף,6021,04:53:00,36.0,13.0
2026,1,שישי,1220,מרכזית המפרץ/קו החוף,6021,04:53:00,40.0,10.0
2026,1,שישי,1220,מרכזית המפרץ/קו החוף,8021,04:53:00,0.0,1.0
