StopCode,OfficeLineID,Direction,Alternative,TripStartTime,ArrivalTime
13116,51019,2,#,09:35,2026-02-13 09:58:33
13116,51019,2,#,07:25,2026-02-13 07:46:41
14730,19018,2,#,07:00,
54841,12117,1,0,08:50,
14730,19018,2,#,07:30,
14730,19018,2,#,08:00,
54841,12117,1,0,07:20,
54841,12117,1,0,14:20,
54841,12117,1,0,10:50,
54841,12117,1,0,11:20,
54841,12117,1,0,12:50,
14730,19018,2,#,12:00,
54841,12117,1,0,09:50,
54841,12117,1,0,10:20,
14730,19018,2,#,08:30,
54841,12117,1,0,13:50,
54841,12117,1,0,06:20,
14730,19018,2,#,06:30,
40826,24035,2,0,10:15,
54841,12117,1,0,08:20,
54841,12117,1,0,06:50,
54841,12117,1,0,07:50,
14730,19018,2,#,09:30,
54841,12117,1,0,12:20,
14730,19018,2,#,11:30,
14730,19018,2,#,10:30,
14730,19018,2,#,09:00,
14730,19018,2,#,11:00,
54841,12117,1,0,09:20,
16336,21041,1,0,05:30,2026-02-13 05:55:17
37123,29012,2,0,06:20,2026-02-13 06:54:52
16336,21041,1,0,11:30,2026-02-13 11:57:36
37123,29012,2,0,07:20,2026-02-13 07:58:59
37123,29012,2,0,08:20,2026-02-13 09:01:02
14730,19018,2,#,09:30,
14730,19018,2,#,10:00,
54841,12117,1,0,07:20,
14730,19018,2,#,10:30,
14730,19018,2,#,11:15,
14730,19018,2,#,11:30,
54841,12117,1,0,06:50,
54841,12117,1,0,07:50,
54841,12117,1,0,06:20,
14730,19018,2,#,07:00,
54841,12117,1,0,09:50,
14730,19018,2,#,07:30,
54841,12117,1,0,10:20,
13116,51019,2,#,07:25,2026-02-20 07:44:21
16336,21041,1,0,05:30,2026-02-20 05:56:17
37123,29012,2,0,07:20,2026-02-20 08:00:50
16336,21041,1,0,08:30,2026-02-20 08:55:58
37123,29012,2,0,06:20,
16336,21041,1,0,09:30,2026-02-20 09:59:45
37123,29012,2,0,13:15,2026-02-20 13:55:12
16336,21041,1,0,06:30,2026-02-20 06:56:08
16336,21041,1,0,10:30,2026-02-20 10:55:57
37123,29012,2,0,10:10,2026-02-20 10:48:57
37123,29012,2,0,05:20,2026-02-20 05:54:30
37123,29012,2,0,08:20,2026-02-20 08:55:27
16336,21041,1,0,07:30,2026-02-20 07:56:05
42218,54016,2,#,06:25,2026-02-20 06:40:58
42218,54016,2,#,07:20,2026-02-20 07:37:55
42218,54016,2,#,12:10,2026-02-20 12:36:41
42218,54016,2,#,05:25,2026-02-20 05:40:38
42218,54016,2,#,08:15,2026-02-20 08:34:40
40826,24035,2,0,10:15,
14730,19018,2,#,09:00,
54841,12117,1,0,12:50,
54841,12117,1,0,08:20,
14730,19018,2,#,06:30,
14730,19018,2,#,07:15,
54841,12117,1,0,08:50,
14730,19018,2,#,08:15,
14730,19018,2,#,08:00,
37123,29012,2,0,14:20,2026-02-13 14:53:14
13116,51019,2,#,13:25,2026-02-13 13:43:49
14730,19018,2,#,10:00,
14730,19018,2,#,14:15,
54841,12117,1,0,11:50,
14730,19018,2,#,08:15,
14730,19018,2,#,07:15,
14730,19018,2,#,11:15,
14730,19018,2,#,12:15,
14730,19018,2,#,09:15,
14730,19018,2,#,10:15,
14730,19018,2,#,08:30,
14730,19018,2,#,09:15,
54841,12117,1,0,09:20,
14730,19018,2,#,10:15,
54841,12117,1,0,10:50,
13116,51019,2,#,09:35,2026-02-20 09:59:09
14730,19018,2,#,13:15,
54841,12117,1,0,06:20,
14730,19018,2,#,07:00,
14730,19018,2,#,07:30,
54841,12117,1,0,06:50,
54841,12117,1,0,07:20,
54841,12117,1,0,07:50,
14730,19018,2,#,08:00,
54841,12117,1,0,08:50,
14730,19018,2,#,09:00,
54841,12117,1,0,08:20,
54841,12117,1,0,10:20,
14730,19018,2,#,06:30,
14730,19018,2,#,08:30,
14730,19018,2,#,10:30,
54841,12117,1,0,10:50,
54841,12117,1,0,09:20,
14730,19018,2,#,09:30,
54841,12117,1,0,09:50,
14730,19018,2,#,10:00,
14730,19018,2,#,11:00,
14730,19018,2,#,12:30,
40826,24035,2,0,10:15,
13116,51019,2,#,07:25,2026-02-27 07:43:45
13116,51019,2,#,09:35,2026-02-27 09:59:46
16336,21041,1,0,05:30,2026-02-27 05:57:28
37123,29012,2,0,06:20,2026-02-27 06:56:49
37123,29012,2,0,07:20,
37123,29012,2,0,08:20,2026-02-27 09:04:35
16336,21041,1,0,11:30,2026-02-27 12:43:22
37123,29012,2,0,14:20,2026-02-27 14:57:33
54841,12117,1,0,11:20,
14730,19018,2,#,11:30,
54841,12117,1,0,13:50,
54841,12117,1,0,11:50,
14730,19018,2,#,14:00,
13116,51019,2,#,09:35,2026-02-06 09:57:50
13116,51019,2,#,07:25,2026-02-06 07:44:33
54841,12117,1,0,10:50,
54841,12117,1,0,06:20,
54841,12117,1,0,07:20,
54841,12117,1,0,08:20,
54841,12117,1,0,08:50,
16336,21041,1,0,06:30,2026-02-06 07:02:12
16336,21041,1,0,08:30,2026-02-06 08:54:37
16336,21041,1,0,09:30,2026-02-06 09:55:34
37123,29012,2,0,05:20,2026-02-06 05:51:11
16336,21041,1,0,07:30,2026-02-06 07:57:10
37123,29012,2,0,09:15,2026-02-06 09:51:54
16336,21041,1,0,10:30,2026-02-06 11:01:07
37123,29012,2,0,11:15,2026-02-06 11:57:12
37123,29012,2,0,13:15,2026-02-06 13:58:14
14730,19018,2,#,12:00,
13116,51019,2,#,13:25,2026-02-27 13:44:39
42218,54016,2,#,05:25,2026-02-13 05:41:57
42218,54016,2,#,09:20,2026-02-13 09:42:40
42218,54016,2,#,08:15,2026-02-13 08:32:46
14730,19018,2,#,14:30,
12387,40014,1,#,05:38,2026-02-13 05:53:50
12387,45012,1,#,07:16,2026-02-13 07:32:50
12387,45012,1,#,06:20,2026-02-13 06:36:22
12387,40014,1,#,10:18,2026-02-13 10:40:44
12387,45012,1,#,10:16,2026-02-13 10:38:57
12387,40014,1,#,07:18,2026-02-13 07:36:50
12387,40014,1,#,09:48,2026-02-13 10:09:24
12387,40014,1,#,12:08,2026-02-13 12:45:08
12387,40014,1,#,13:48,2026-02-13 14:08:37
12387,40014,1,#,11:18,2026-02-13 11:46:25
12387,40014,1,#,09:18,2026-02-13 09:36:57
12387,45012,1,#,09:16,2026-02-13 09:40:04
12387,45012,1,#,12:16,2026-02-13 12:44:18
12387,40014,1,#,14:18,2026-02-13 14:40:41
12387,45012,1,#,13:16,2026-02-13 13:31:55
12387,45012,1,#,08:16,2026-02-13 08:40:35
12387,40014,1,#,07:48,2026-02-13 08:08:23
12387,40014,1,#,06:18,2026-02-13 06:36:04
12387,40014,1,#,05:20,2026-02-13 05:41:01
12387,45012,1,#,05:20,2026-02-13 05:37:23
12387,40014,1,#,06:38,2026-02-13 06:52:26
12387,40014,1,#,08:48,2026-02-13 09:10:15
12387,40014,1,#,08:18,2026-02-13 08:38:12
12387,45012,1,#,11:16,2026-02-13 11:43:19
37123,29012,1,0,06:40,
37123,29012,1,0,05:40,
37123,29012,1,0,09:40,
12387,45012,1,#,10:16,2026-02-20 10:37:00
12387,40014,1,#,07:48,2026-02-20 08:10:02
12387,40014,1,#,10:18,2026-02-20 10:35:33
12387,40014,1,#,06:18,2026-02-20 06:39:02
12387,40014,1,#,09:48,2026-02-20 10:06:19
12387,40014,1,#,10:48,2026-02-20 11:10:10
12387,45012,1,#,08:16,2026-02-20 08:37:03
12387,40014,1,#,08:18,2026-02-20 08:41:00
12387,45012,1,#,09:16,2026-02-20 09:35:37
12387,40014,1,#,09:18,2026-02-20 09:44:11
35377,23044,2,0,10:14,
35377,23044,2,0,05:45,
35377,23044,2,0,08:45,
35377,23044,2,0,09:14,
37123,29012,1,0,06:40,
37123,29012,1,0,08:40,
37123,29012,1,0,11:40,
37123,29012,1,0,09:40,
37123,29012,1,0,14:40,
37123,29012,1,0,05:40,
37123,29012,1,0,07:40,
12387,40014,1,#,11:18,2026-02-20 11:40:56
12387,45012,1,#,13:16,2026-02-20 13:34:54
12387,45012,1,#,05:20,2026-02-20 05:37:03
12387,45012,1,#,06:20,2026-02-20 06:38:31
12387,40014,1,#,05:20,2026-02-20 05:39:24
12387,40014,1,#,05:38,2026-02-20 05:54:02
12387,40014,1,#,06:38,2026-02-20 06:52:41
12387,40014,1,#,08:48,2026-02-20 09:10:41
37123,29012,1,0,13:40,
37123,29012,1,0,08:40,
37123,29012,1,0,11:40,
37123,29012,1,0,10:40,
37123,29012,1,0,12:40,
12387,45012,1,#,07:16,
12387,40014,1,#,07:18,2026-02-20 07:35:16
12387,45012,1,#,11:16,2026-02-20 11:34:27
12387,40014,1,#,11:48,2026-02-20 12:15:23
12387,40014,1,#,12:48,2026-02-20 13:14:38
35377,23044,2,0,06:35,
35377,23044,2,0,11:14,
35377,23044,2,0,07:50,
35377,23044,2,0,08:14,
35377,23044,2,0,07:10,
35377,23044,2,0,06:15,
35377,23044,2,0,07:17,
35377,23044,2,0,09:45,
35377,23044,2,0,10:45,
35377,23044,2,0,11:45,
35377,23044,2,0,12:14,
35377,23044,2,0,12:45,
12387,40014,1,#,11:48,2026-02-13 12:19:01
12387,40014,1,#,10:48,2026-02-13 11:12:09
12387,45012,1,#,14:16,2026-02-13 14:34:23
12387,40014,1,#,12:48,2026-02-13 13:14:27
12387,40014,1,#,13:18,2026-02-13 13:44:52
12387,40014,1,#,14:48,2026-02-13 15:08:30
12387,45012,1,#,06:20,2026-02-27 06:38:10
12387,40014,1,#,07:48,2026-02-27 08:12:06
12387,40014,1,#,05:38,2026-02-27 05:55:17
12387,40014,1,#,09:48,2026-02-27 10:07:28
12387,40014,1,#,05:20,2026-02-27 05:42:29
12387,40014,1,#,08:48,2026-02-27 09:12:59
12387,40014,1,#,06:38,2026-02-27 06:53:03
12387,40014,1,#,11:48,
