Year,Month,StationName,Ascending_pass,Descending_pass,Rank
2025,12,פאתי מודיעין,50719,54183,37 מתוך 67
2026,1,יבנה מערב,75979,74610,28 מתוך 67
2025,12,"נתב""ג",260064,268980,8 מתוך 67
2025,12,קיסריה פרדס חנה,76718,73915,29 מתוך 67
2025,12,הרצליה,357706,355628,6 מתוך 67
2025,12,מרכזית המפרץ/קו החוף,147435,145484,17 מתוך 67
2025,12,אופקים,37629,37045,41 מתוך 67
2026,1,תל אביב מרכז,761798,735173,1 מתוך 67
2026,1,רחובות,135347,135969,15 מתוך 67
2025,12,כפר ברוך,13687,12550,65 מתוך 67
2026,1,יבנה מזרח,19743,19198,58 מתוך 67
2025,12,כפר סבא,59137,59946,33 מתוך 67
2026,1,נתניה קריית ספיר,57811,66977,30 מתוך 67
2025,12,בת ים קוממיות,32234,31176,47 מתוך 67
2025,12,אשדוד עד הלום,171398,172923,11 מתוך 67
2026,1,חוצות מפרץ,27905,28566,49 מתוך 67
2025,12,באר יעקב,51129,51694,36 מתוך 67
2025,12,עתלית,25929,23838,54 מתוך 67
2025,12,"רשל""צ משה דיין",94716,98952,23 מתוך 67
2025,12,רמלה,36365,37152,43 מתוך 67
2026,1,כפר חבד,29524,29952,48 מתוך 67
2026,1,השלום,752729,756376,2 מתוך 67
2026,1,מודיעין מרכז,106137,106815,20 מתוך 67
2025,12,נתניה קריית ספיר,63984,71996,31 מתוך 67
2025,12,רעננה דרום,16119,17618,62 מתוך 67
2026,1,כרמיאל,82749,77648,25 מתוך 67
2025,12,בת ים יוספטל,61925,65133,32 מתוך 67
2026,1,לוד גני אביב,20820,20809,55 מתוך 67
2025,12,ראשונים,7832,7374,66 מתוך 67
2026,1,סגולה,24506,23960,52 מתוך 67
2026,1,נתיבות,32374,32907,44 מתוך 67
2025,12,חולון וולפסון,28757,27652,51 מתוך 67
2025,12,כרמיאל,92596,85940,25 מתוך 67
2025,12,תא אוניברסיטה,519418,546360,3 מתוך 67
2026,1,בית שאן,23681,22314,53 מתוך 67
2025,12,סגולה,26725,26249,53 מתוך 67
2025,12,בית יהושע,96862,91722,22 מתוך 67
2025,12,קרית מלאכי,20685,21691,58 מתוך 67
2025,12,קרית גת,56236,57078,34 מתוך 67
2026,1,הוד השרון,43689,42144,38 מתוך 67
2025,12,שדרות,36698,35973,42 מתוך 67
2026,1,הרצליה,312801,317529,6 מתוך 67
2025,12,קרית חיים,19768,18094,61 מתוך 67
2025,12,בת גלים,116203,116409,19 מתוך 67
2025,12,אשקלון,156506,154027,14 מתוך 67
2026,1,כפר ברוך,12053,11523,65 מתוך 67
2025,12,מודיעין מרכז,115009,120875,20 מתוך 67
2025,12,נהריה,152014,150603,15 מתוך 67
2026,1,פאתי מודיעין,45943,47412,36 מתוך 67
2025,12,חוצות מפרץ,34307,33348,44 מתוך 67
2026,1,אופקים,34816,34165,41 מתוך 67
2026,1,באר שבע צפון,87447,86849,22 מתוך 67
2025,12,יבנה מזרח,20547,21242,59 מתוך 67
2026,1,קרית מוצקין,77087,76567,26 מתוך 67
2025,12,עפולה,49445,46269,39 מתוך 67
