Year,Month,StationName,Ascending_pass,Descending_pass,Rank
2026,5,נתניה,145775,151285,14 מתוך 67
2026,5,הוד השרון,43537,42026,39 מתוך 67
2026,5,חיפה מרכז,165697,151632,11 מתוך 67
2026,5,"רשל""צ משה דיין",89641,92739,23 מתוך 67
2026,5,עתלית,22225,21561,54 מתוך 67
2026,5,באר יעקב,50507,47623,35 מתוך 67
2026,5,בית יהושע,82769,80836,24 מתוך 67
2026,5,ראשונים,7532,6571,66 מתוך 67
2026,5,נתיבות,39333,38919,41 מתוך 67
2026,5,לוד גני אביב,21553,21691,56 מתוך 67
2026,5,תל אביב מרכז,729923,710260,1 מתוך 67
2026,5,מזכרת בתיה,31133,30180,45 מתוך 67
2026,5,נתניה קריית ספיר,51674,62125,33 מתוך 67
2026,5,אחיהוד,11473,10556,64 מתוך 67
2026,5,בת ים יוספטל,56589,61782,30 מתוך 67
2026,5,לוד,150624,156948,13 מתוך 67
2026,5,כפר ברוך,12558,11620,63 מתוך 67
2026,5,קיסריה פרדס חנה,66676,66663,29 מתוך 67
2026,5,מרכזית המפרץ/קו החוף,124020,125514,19 מתוך 67
2026,5,הרצליה,304738,307431,6 מתוך 67
2026,5,בת ים קוממיות,22073,19570,55 מתוך 67
2026,5,באר שבע צפון,106029,107759,22 מתוך 67
2026,5,בית שאן,23289,21531,51 מתוך 67
2026,5,מרכזית המפרץ,20112,21638,57 מתוך 67
2026,5,רעננה מערב,25060,23733,50 מתוך 67
2026,5,ירושלים/יצחק נבון,403119,383246,3 מתוך 67
2026,5,קרית מוצקין,73483,71086,26 מתוך 67
2026,5,רעננה דרום,13895,14575,62 מתוך 67
2026,5,קרית חיים,15927,15423,61 מתוך 67
2026,5,שדרות,41910,41961,40 מתוך 67
2026,5,קרית גת,52418,43648,32 מתוך 67
2026,5,תא אוניברסיטה,398018,405063,4 מתוך 67
2026,5,נהריה,129985,129497,16 מתוך 67
2026,5,רמלה,33475,33309,44 מתוך 67
2026,5,חולון וולפסון,26411,26120,49 מתוך 67
2026,5,"נתב""ג",176695,190979,9 מתוך 67
2026,5,רחובות,139697,139004,15 מתוך 67
2026,5,כפר חבד,27902,27952,47 מתוך 67
2026,5,תל אביב ההגנה,333003,341215,5 מתוך 67
2026,5,השלום,717654,738874,2 מתוך 67
2026,5,חדרה מערב,126405,121685,18 מתוך 67
2026,5,קרית אריה,45671,39446,37 מתוך 67
2026,5,מודיעין מרכז,106753,103727,21 מתוך 67
2026,5,בת גלים,108690,112168,20 מתוך 67
2026,5,חוצות מפרץ,27319,27683,48 מתוך 67
2026,5,יבנה מזרח,22335,21190,53 מתוך 67
2026,5,אשקלון,158346,158104,12 מתוך 67
2026,5,עכו,72770,71441,27 מתוך 67
2026,5,בני ברק,28252,28968,46 מתוך 67
2026,5,צומת חולון,8325,9939,65 מתוך 67
2026,5,עפולה,44841,43179,38 מתוך 67
2026,5,חוף הכרמל,179635,193360,8 מתוך 67
2026,5,דימונה,1373,698,67 מתוך 67
2026,5,בית שמש,38814,38441,42 מתוך 67
2026,5,ראש העין צפון,54794,54269,31 מתוך 67
2026,5,אשדוד עד הלום,168490,168091,10 מתוך 67
2026,5,כפר סבא,50566,51673,34 מתוך 67
2026,5,סגולה,22815,22663,52 מתוך 67
2026,5,פאתי מודיעין,45997,46656,36 מתוך 67
2026,5,כרמיאל,81241,75002,25 מתוך 67
2026,5,קרית מלאכי,19086,19475,59 מתוך 67
2026,5,להבים רהט,19994,19258,58 מתוך 67
2026,5,כפר יהושע,19034,17001,60 מתוך 67
2026,5,באר שבע מרכז,126503,130660,17 מתוך 67
2026,5,יבנה מערב,70627,72102,28 מתוך 67
2026,5,בנימינה,238318,235140,7 מתוך 67
2026,5,אופקים,34555,34212,43 מתוך 67
