FromStationName,ToStationName,Month,Year,SUM_Values_Pass
באר שבע צפון,נתניה קריית ספיר,12,2025,472
נתניה,חיפה מרכז,1,2026,1312
קיסריה פרדס חנה,שדרות,1,2026,136
קרית חיים,פאתי מודיעין,12,2025,43
נתניה קריית ספיר,קרית מלאכי,12,2025,90
פאתי מודיעין,רמלה,12,2025,20
רמלה,ראש העין צפון,1,2026,187
השלום,אחיהוד,12,2025,1238
לוד,"רשל""צ משה דיין",12,2025,403
כרמיאל,רעננה מערב,12,2025,194
תל אביב ההגנה,ירושלים/יצחק נבון,1,2026,46738
ירושלים/יצחק נבון,חדרה מערב,1,2026,5379
כרמיאל,בית שמש,12,2025,351
כפר ברוך,לוד גני אביב,12,2025,10
באר שבע צפון,בית שאן,12,2025,134
ירושלים/יצחק נבון,השלום,1,2026,82767
עתלית,יבנה מזרח,12,2025,15
בת ים קוממיות,עתלית,1,2026,34
כרמיאל,תל אביב ההגנה,1,2026,1926
באר שבע צפון,תא אוניברסיטה,1,2026,5342
חוצות מפרץ,באר שבע צפון,1,2026,83
בית שאן,תא אוניברסיטה,1,2026,783
כפר יהושע,יבנה מערב,1,2026,93
בית יהושע,כפר ברוך,12,2025,22
להבים רהט,לוד,12,2025,923
הרצליה,"רשל""צ משה דיין",1,2026,1881
להבים רהט,עתלית,12,2025,29
כפר חבד,חוצות מפרץ,1,2026,42
כפר יהושע,דימונה,1,2026,3
ראשונים,נתניה,1,2026,195
פאתי מודיעין,כרמיאל,12,2025,111
נתניה קריית ספיר,ראש העין צפון,1,2026,217
כפר סבא,צומת חולון,1,2026,375
רחובות,ראשונים,12,2025,23
חיפה מרכז,מודיעין מרכז,1,2026,558
כפר יהושע,חיפה מרכז,1,2026,1581
רחובות,בית שאן,1,2026,107
רחובות,לוד,1,2026,4659
מודיעין מרכז,רחובות,1,2026,283
תל אביב מרכז,באר שבע מרכז,1,2026,12234
ירושלים/יצחק נבון,נתניה,12,2025,13875
עכו,הרצליה,12,2025,1453
באר שבע צפון,פאתי מודיעין,1,2026,78
להבים רהט,באר שבע מרכז,12,2025,1312
רעננה מערב,דימונה,12,2025,3
כרמיאל,באר שבע צפון,1,2026,799
מודיעין מרכז,תא אוניברסיטה,1,2026,8254
חוף הכרמל,בנימינה,12,2025,5218
ראשונים,באר יעקב,12,2025,10
ירושלים/יצחק נבון,קרית גת,12,2025,667
תל אביב מרכז,בנימינה,12,2025,36935
באר יעקב,כפר סבא,12,2025,155
הוד השרון,אופקים,1,2026,219
קרית מוצקין,אחיהוד,1,2026,394
הוד השרון,עפולה,1,2026,50
רעננה דרום,מודיעין מרכז,1,2026,91
מרכזית המפרץ/קו החוף,תא אוניברסיטה,12,2025,6324
אשדוד עד הלום,רעננה מערב,12,2025,353
