FromStationName,ToStationName,Month,Year,SUM_Values_Pass
מזכרת בתיה,לוד,10,2025,351
"נתב""ג",נתיבות,10,2025,325
חולון וולפסון,ראשונים,10,2025,1
לוד,השלום,11,2025,17662
ראשונים,לוד גני אביב,10,2025,110
קיסריה פרדס חנה,נתיבות,10,2025,71
"נתב""ג",בת ים יוספטל,10,2025,1699
תא אוניברסיטה,צומת חולון,11,2025,1832
קיסריה פרדס חנה,הרצליה,11,2025,5863
קרית אריה,כפר ברוך,10,2025,25
להבים רהט,צומת חולון,11,2025,51
חוף הכרמל,צומת חולון,10,2025,142
חדרה מערב,קרית אריה,10,2025,502
קרית חיים,קרית מוצקין,10,2025,31
רמלה,צומת חולון,10,2025,14
כפר ברוך,תא אוניברסיטה,11,2025,573
קרית חיים,הרצליה,11,2025,269
ירושלים/יצחק נבון,לוד גני אביב,10,2025,285
בת ים יוספטל,כפר סבא,11,2025,1034
הוד השרון,רמלה,11,2025,105
מרכזית המפרץ/קו החוף,צומת חולון,10,2025,112
יבנה מזרח,הוד השרון,10,2025,11
יבנה מערב,צומת חולון,11,2025,260
כפר יהושע,לוד גני אביב,11,2025,2
ראש העין צפון,דימונה,11,2025,4
נתיבות,בית שמש,10,2025,75
עכו,נתניה,10,2025,741
נתניה,נתניה קריית ספיר,11,2025,683
מודיעין מרכז,קרית אריה,10,2025,119
בת גלים,קרית חיים,10,2025,1507
אופקים,נתיבות,10,2025,1159
"רשל""צ משה דיין","נתב""ג",10,2025,663
כפר יהושע,עתלית,10,2025,159
באר שבע מרכז,כפר סבא,10,2025,1057
באר יעקב,קרית מלאכי,10,2025,21
ירושלים/יצחק נבון,מזכרת בתיה,11,2025,194
קרית אריה,השלום,10,2025,2042
חוף הכרמל,פאתי מודיעין,10,2025,653
בני ברק,כפר יהושע,11,2025,19
נתיבות,בת ים יוספטל,11,2025,472
נהריה,עכו,10,2025,6797
קרית מוצקין,כפר יהושע,10,2025,53
תל אביב ההגנה,מודיעין מרכז,11,2025,6186
מודיעין מרכז,הרצליה,10,2025,1956
הרצליה,נתיבות,10,2025,235
חולון וולפסון,בנימינה,10,2025,620
ראש העין צפון,קרית חיים,11,2025,33
חוף הכרמל,ראש העין צפון,11,2025,532
אשדוד עד הלום,רמלה,10,2025,108
רחובות,קרית אריה,10,2025,283
באר שבע צפון,בני ברק,10,2025,131
בת ים קוממיות,יבנה מערב,10,2025,1145
שדרות,בת ים קוממיות,11,2025,154
יבנה מזרח,באר יעקב,11,2025,331
כפר חבד,עכו,11,2025,54
באר שבע צפון,תל אביב ההגנה,10,2025,4957
סגולה,יבנה מערב,10,2025,329
נתניה קריית ספיר,לוד,11,2025,1057
אחיהוד,רמלה,11,2025,34
רחובות,כפר יהושע,11,2025,50
תא אוניברסיטה,באר שבע צפון,11,2025,5610
מרכזית המפרץ/קו החוף,אשדוד עד הלום,10,2025,893
השלום,קרית אריה,10,2025,1706
השלום,כפר סבא,10,2025,11052
חדרה מערב,ירושלים/יצחק נבון,10,2025,5380
מודיעין מרכז,עתלית,10,2025,174
רעננה דרום,באר שבע צפון,10,2025,144
קרית גת,השלום,10,2025,9560
קרית מלאכי,כרמיאל,10,2025,94
רעננה מערב,כפר סבא,10,2025,180
