from_station_name,to_station_name,month,year,sum_values_pass
"נתב""ג",בית יהושע,11,2025,2517
רעננה מערב,באר שבע צפון,11,2025,282
ראש העין צפון,פאתי מודיעין,11,2025,35
אופקים,ראש העין צפון,11,2025,507
ירושלים/יצחק נבון,כפר סבא,11,2025,2901
בת ים קוממיות,פאתי מודיעין,11,2025,19
קרית חיים,יבנה מזרח,11,2025,4
סגולה,אחיהוד,11,2025,9
אשדוד עד הלום,מודיעין מרכז,11,2025,302
בת ים יוספטל,בני ברק,11,2025,1379
"רשל""צ משה דיין",קרית מלאכי,11,2025,30
רחובות,אופקים,11,2025,810
חולון וולפסון,פאתי מודיעין,11,2025,93
בית יהושע,קרית אריה,11,2025,197
נתניה,רעננה מערב,11,2025,409
תא אוניברסיטה,יבנה מזרח,11,2025,1101
מרכזית המפרץ/קו החוף,קרית מלאכי,11,2025,509
בת ים יוספטל,שדרות,11,2025,522
רעננה מערב,חוף הכרמל,11,2025,464
קרית מוצקין,יבנה מזרח,11,2025,26
יבנה מערב,ראש העין צפון,11,2025,827
רעננה דרום,ירושלים/יצחק נבון,11,2025,1196
בית שאן,רמלה,11,2025,54
מודיעין מרכז,יבנה מזרח,11,2025,49
נתיבות,קיסריה פרדס חנה,11,2025,90
נתניה,בני ברק,11,2025,710
חוצות מפרץ,צומת חולון,11,2025,64
חוצות מפרץ,קרית מוצקין,11,2025,868
מזכרת בתיה,עתלית,11,2025,58
בת ים קוממיות,אשדוד עד הלום,11,2025,1606
בית יהושע,תא אוניברסיטה,11,2025,9628
תל אביב מרכז,כרמיאל,11,2025,6407
ראשונים,נהריה,11,2025,36
רחובות,כרמיאל,11,2025,437
לוד גני אביב,עכו,11,2025,23
לוד,רעננה מערב,11,2025,135
"נתב""ג",תא אוניברסיטה,11,2025,5252
תא אוניברסיטה,כפר יהושע,11,2025,613
בת גלים,נהריה,11,2025,9596
נתניה קריית ספיר,מרכזית המפרץ/קו החוף,11,2025,733
אשדוד עד הלום,"נתב""ג",11,2025,3097
אשקלון,רעננה דרום,11,2025,478
בית שאן,צומת חולון,11,2025,13
חוף הכרמל,קרית אריה,11,2025,1200
מודיעין מרכז,צומת חולון,11,2025,46
בת ים קוממיות,רעננה מערב,11,2025,94
ירושלים/יצחק נבון,הוד השרון,11,2025,1566
בת גלים,ירושלים/יצחק נבון,11,2025,2682
תל אביב ההגנה,מזכרת בתיה,11,2025,1979
רמלה,באר יעקב,11,2025,29
כפר ברוך,הוד השרון,11,2025,21
"נתב""ג",כרמיאל,11,2025,2214
להבים רהט,בת גלים,11,2025,200
סגולה,נתיבות,11,2025,193
בני ברק,ראש העין צפון,11,2025,2285
רעננה מערב,תל אביב ההגנה,11,2025,1036
קרית מוצקין,באר שבע מרכז,11,2025,1921
כרמיאל,קרית מלאכי,11,2025,107
כפר ברוך,רמלה,11,2025,30
כפר סבא,אחיהוד,11,2025,25
ראשונים,"רשל""צ משה דיין",11,2025,7
כפר יהושע,ראש העין צפון,11,2025,23
ראשונים,בית יהושע,11,2025,127
ראשונים,סגולה,11,2025,15
בת גלים,רעננה דרום,11,2025,186
ראש העין צפון,קרית אריה,11,2025,1943
קיסריה פרדס חנה,"רשל""צ משה דיין",11,2025,582
השלום,ראש העין צפון,11,2025,14039
כפר ברוך,הרצליה,11,2025,171
אשדוד עד הלום,חוף הכרמל,11,2025,1197
נהריה,"רשל""צ משה דיין",11,2025,664
חולון וולפסון,עתלית,11,2025,52
נתניה קריית ספיר,כפר ברוך,11,2025,26
קרית חיים,חוף הכרמל,11,2025,869
כפר חבד,ראש העין צפון,11,2025,54
עפולה,ראשונים,11,2025,18
מודיעין מרכז,קרית מוצקין,11,2025,591
