FromStationName,ToStationName,Month,Year,SUM_Values_Pass
סגולה,הרצליה,2,2026,486
תל אביב ההגנה,רחובות,2,2026,5807
קרית מוצקין,רמלה,2,2026,301
רמלה,אשקלון,2,2026,271
נתיבות,ראש העין צפון,2,2026,251
השלום,תא אוניברסיטה,2,2026,8299
עתלית,מזכרת בתיה,2,2026,45
קיסריה פרדס חנה,בת ים קוממיות,2,2026,100
רעננה דרום,אופקים,2,2026,152
דימונה,ראש העין צפון,2,2026,7
עכו,חוצות מפרץ,2,2026,2400
בת ים קוממיות,אשקלון,2,2026,1544
סגולה,בני ברק,2,2026,1058
תא אוניברסיטה,הוד השרון,2,2026,2444
השלום,חולון וולפסון,2,2026,2293
תל אביב ההגנה,לוד גני אביב,2,2026,2724
קרית חיים,נהריה,2,2026,1502
לוד,חיפה מרכז,2,2026,378
כפר סבא,תל אביב מרכז,2,2026,7086
חוף הכרמל,לוד,2,2026,1346
"נתב""ג",מודיעין מרכז,2,2026,5142
כפר סבא,רעננה דרום,2,2026,73
באר יעקב,השלום,2,2026,15027
בית יהושע,שדרות,2,2026,217
אחיהוד,יבנה מערב,2,2026,22
קרית מלאכי,הוד השרון,2,2026,60
נהריה,נתניה קריית ספיר,2,2026,632
נתניה,סגולה,2,2026,143
קיסריה פרדס חנה,בני ברק,2,2026,212
צומת חולון,קרית חיים,2,2026,34
באר יעקב,מזכרת בתיה,2,2026,1
באר שבע מרכז,נתיבות,2,2026,4096
בת ים יוספטל,נהריה,2,2026,290
בית יהושע,צומת חולון,2,2026,170
הרצליה,עתלית,2,2026,659
בת גלים,"נתב""ג",2,2026,1772
בית שמש,קרית חיים,2,2026,32
לוד גני אביב,רעננה מערב,2,2026,32
עפולה,כפר יהושע,2,2026,1480
עפולה,לוד גני אביב,2,2026,7
עכו,סגולה,2,2026,139
כפר יהושע,רחובות,2,2026,67
קרית גת,הוד השרון,2,2026,91
חוצות מפרץ,חוף הכרמל,2,2026,496
נהריה,בית יהושע,2,2026,448
שדרות,אשקלון,2,2026,1674
אחיהוד,חיפה מרכז,2,2026,1425
בית שמש,כפר סבא,2,2026,130
קיסריה פרדס חנה,נתניה קריית ספיר,2,2026,3193
ראש העין צפון,לוד,2,2026,208
נתניה קריית ספיר,נתניה,2,2026,574
ירושלים/יצחק נבון,עפולה,2,2026,548
תא אוניברסיטה,שדרות,2,2026,1459
קרית מלאכי,אשדוד עד הלום,2,2026,20
כפר יהושע,לוד גני אביב,2,2026,11
חיפה מרכז,עכו,2,2026,5283
בית שמש,יבנה מזרח,2,2026,54
שדרות,בת ים קוממיות,2,2026,149
צומת חולון,לוד,2,2026,62
בנימינה,אופקים,2,2026,423
נהריה,מודיעין מרכז,2,2026,1082
אחיהוד,רמלה,2,2026,59
חדרה מערב,סגולה,2,2026,164
פאתי מודיעין,עתלית,2,2026,137
באר שבע צפון,בית שמש,2,2026,109
מרכזית המפרץ/קו החוף,עתלית,2,2026,1158
דימונה,תא אוניברסיטה,2,2026,85
צומת חולון,ראש העין צפון,2,2026,360
נתניה,רחובות,2,2026,2956
חוף הכרמל,רעננה מערב,2,2026,404
בת ים קוממיות,בני ברק,2,2026,652
רעננה דרום,נתיבות,2,2026,70
מודיעין מרכז,בית שמש,2,2026,44
"רשל""צ משה דיין",מרכזית המפרץ/קו החוף,2,2026,799
עפולה,קרית חיים,2,2026,48
רחובות,בית שמש,2,2026,581
כפר חבד,חוף הכרמל,2,2026,242
קרית גת,בת ים קוממיות,2,2026,135
חדרה מערב,עכו,2,2026,543
קיסריה פרדס חנה,חדרה מערב,2,2026,721
בנימינה,בית שאן,2,2026,282
רעננה מערב,חולון וולפסון,2,2026,133
צומת חולון,באר שבע מרכז,2,2026,149
תא אוניברסיטה,קרית גת,2,2026,2456
תל אביב ההגנה,פאתי מודיעין,2,2026,2917
בני ברק,כפר יהושע,2,2026,26
בת ים יוספטל,קרית גת,2,2026,208
לוד גני אביב,חולון וולפסון,2,2026,112
בית יהושע,מרכזית המפרץ/קו החוף,2,2026,563
הוד השרון,ירושלים/יצחק נבון,2,2026,1710
יבנה מערב,צומת חולון,2,2026,356
אשדוד עד הלום,בני ברק,2,2026,2016
הרצליה,תל אביב ההגנה,2,2026,8612
לוד גני אביב,באר שבע מרכז,2,2026,113
רעננה דרום,בית שאן,2,2026,14
ראש העין צפון,קרית חיים,2,2026,28
הוד השרון,רמלה,2,2026,97
חולון וולפסון,נתיבות,2,2026,314
בת ים קוממיות,הרצליה,2,2026,577
עפולה,כפר ברוך,2,2026,156
אחיהוד,ירושלים/יצחק נבון,2,2026,224
חוף הכרמל,מזכרת בתיה,2,2026,499
חדרה מערב,תל אביב ההגנה,2,2026,5428
אופקים,כפר חבד,2,2026,50
כרמיאל,רמלה,2,2026,224
הרצליה,חיפה מרכז,2,2026,2375
חוצות מפרץ,ראשונים,2,2026,15
קיסריה פרדס חנה,קרית מלאכי,2,2026,70
מרכזית המפרץ/קו החוף,בת ים יוספטל,2,2026,478
"רשל""צ משה דיין",רעננה מערב,2,2026,511
אשקלון,לוד,2,2026,4444
"נתב""ג",קרית מלאכי,2,2026,161
"רשל""צ משה דיין",בית שמש,2,2026,316
תל אביב ההגנה,אשדוד עד הלום,2,2026,6778
יבנה מזרח,אחיהוד,2,2026,1
תא אוניברסיטה,קרית חיים,2,2026,653
בית שאן,חיפה מרכז,2,2026,1296
פאתי מודיעין,סגולה,2,2026,25
חדרה מערב,אשדוד עד הלום,2,2026,890
אשדוד עד הלום,לוד,2,2026,3756
הרצליה,כפר חבד,2,2026,816
רמלה,בת ים יוספטל,2,2026,200
כפר סבא,בת גלים,2,2026,358
קרית חיים,לוד,2,2026,57
יבנה מזרח,מזכרת בתיה,2,2026,1
שדרות,כפר יהושע,2,2026,26
אחיהוד,קרית אריה,2,2026,49
מודיעין מרכז,אופקים,2,2026,268
חוצות מפרץ,השלום,2,2026,2721
דימונה,אשקלון,2,2026,17
קיסריה פרדס חנה,ראש העין צפון,2,2026,238
עכו,צומת חולון,2,2026,53
קרית גת,ראש העין צפון,2,2026,247
רמלה,קרית מוצקין,2,2026,323
יבנה מערב,לוד גני אביב,2,2026,95
"נתב""ג",יבנה מזרח,2,2026,59
סגולה,ראש העין צפון,2,2026,137
נתניה קריית ספיר,כפר יהושע,2,2026,28
בת ים יוספטל,קרית מוצקין,2,2026,239
כפר ברוך,עכו,2,2026,83
כפר חבד,אופקים,2,2026,61
כפר ברוך,יבנה מערב,2,2026,40
רעננה דרום,מרכזית המפרץ/קו החוף,2,2026,181
קיסריה פרדס חנה,יבנה מזרח,2,2026,168
קרית אריה,באר שבע צפון,2,2026,806
צומת חולון,הוד השרון,2,2026,254
קרית אריה,פאתי מודיעין,2,2026,89
בית שאן,דימונה,2,2026,2
קרית מוצקין,קרית אריה,2,2026,450
חולון וולפסון,כפר סבא,2,2026,463
חולון וולפסון,כפר חבד,2,2026,156
באר יעקב,תא אוניברסיטה,2,2026,4002
חולון וולפסון,באר שבע צפון,2,2026,256
בית יהושע,קרית מלאכי,2,2026,100
ראשונים,באר שבע מרכז,2,2026,664
עכו,אשדוד עד הלום,2,2026,267
כפר יהושע,צומת חולון,2,2026,4
"נתב""ג",כפר יהושע,2,2026,314
קרית חיים,בית שאן,2,2026,38
תל אביב מרכז,מזכרת בתיה,2,2026,4507
בית שאן,יבנה מערב,2,2026,107
תא אוניברסיטה,רחובות,2,2026,11764
בנימינה,יבנה מזרח,2,2026,212
כפר יהושע,הוד השרון,2,2026,46
כפר חבד,בית יהושע,2,2026,200
קרית גת,לוד,2,2026,2636
באר שבע מרכז,יבנה מזרח,2,2026,88
בית יהושע,יבנה מערב,2,2026,312
